trial_nr,dataset,model,optimizer,seed,val_auroc,val_accuracy,train_time,config
92,bank_marketing,mlp,acrs,42,0.9113036303630362,0.9070796460176991,3.1817970275878906,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 6.0901095138869905e-05, ""activation"": ""relu""}"
93,bank_marketing,mlp,acrs,42,0.9117677392739274,0.911504424778761,3.186861515045166,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 3.342603814007597e-05, ""activation"": ""relu""}"
94,bank_marketing,mlp,acrs,42,0.9141140676567656,0.9170353982300885,3.580834150314331,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 1.607120188116248e-05, ""activation"": ""relu""}"
95,bank_marketing,mlp,acrs,42,0.909447194719472,0.9214601769911505,3.386699676513672,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0003319941051400969, ""activation"": ""relu""}"
96,bank_marketing,mlp,acrs,42,0.9179558580858086,0.911504424778761,3.380655288696289,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.8005958582976715e-05, ""activation"": ""relu""}"
97,bank_marketing,mlp,acrs,42,0.9117935231023102,0.9170353982300885,2.92219877243042,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
98,bank_marketing,mlp,acrs,42,0.9096276815181518,0.915929203539823,2.1867363452911377,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
99,bank_marketing,mlp,acrs,42,0.9086865717821782,0.9148230088495575,2.710207462310791,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
100,bank_marketing,mlp,acrs,42,0.9152485561056106,0.911504424778761,2.1605372428894043,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
101,bank_marketing,mlp,acrs,42,0.9139593646864685,0.915929203539823,2.564995050430298,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
102,bank_marketing,mlp,acrs,42,0.9152356641914191,0.918141592920354,1.0794575214385986,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 128, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
103,bank_marketing,mlp,acrs,42,0.9140882838283828,0.9126106194690266,1.9223768711090088,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 32, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
